Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,9.5e-06,0.00015340000000000002,0.0001726
AES_CBC_Large_File,9.5e-06,0.0061118000000000006,0.0034576999999999997
AES_CTR_Small_File,1.38e-05,0.00012859999999999998,0.000195
AES_CTR_Large_File,1.38e-05,0.0031601,0.00381
AES_CTR_256_Small_File,1.64e-05,0.0003376,0.000404
AES_CTR_256_Large_File,1.64e-05,0.0046156999999999995,0.003974699999999999
TripleDES_Small_File,1.12e-05,0.0002476,0.0001929
TripleDES_Large_File,1.12e-05,0.1009728,0.0996797
RSA_2048_Small_File,0.1778225,0.000669,0.0038680999999999998
RSA_2048_Large_File,0.35759240000000003,0.893196,3.5485442000000003
RSA_3072_Small_File,0.639006,0.0010799000000000002,0.0077986999999999996
RSA_3072_Large_File,0.698825,0.5500324,5.8625638
DSA_2048_Small_File,0.4102654,0.0006761,0.0004038
DSA_2048_Large_File,0.15572239999999998,0.0026798,0.0025563
DSA_3072_Small_File,0.9136039,0.0008677,0.0007807000000000001
DSA_3072_Large_File,0.8496125999999999,0.0030584,0.0026774
