Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,8e-06,0.000371,0.0003717
AES_CBC_Large_File,8e-06,0.016370100000000002,0.0252974
AES_CTR_Small_File,7.9e-06,0.0002699,0.000249
AES_CTR_Large_File,7.9e-06,0.0151456,0.0191413
AES_CTR_256_Small_File,8.599999999999999e-06,0.00021459999999999998,0.0002117
AES_CTR_256_Large_File,8.599999999999999e-06,0.0144302,0.015462
TripleDES_Small_File,1.4e-05,0.0053346,0.0053367
TripleDES_Large_File,1.4e-05,0.3291652,0.33848
RSA_2048_Small_File,0.085914,0.042861800000000005,0.561064
RSA_2048_Large_File,0.35874740000000005,0.6991337,3.0710331
RSA_3072_Small_File,0.30729340000000005,0.0444033,0.9604921999999999
RSA_3072_Large_File,0.4470413,0.38612359999999996,5.2771113
DSA_2048_Small_File,0.2882938,0.0007742999999999999,0.0005307
DSA_2048_Large_File,0.143462,0.0069245,0.0071592
DSA_3072_Small_File,3.2913656000000002,0.0009544,0.0009147000000000001
DSA_3072_Large_File,1.1264916,0.0076577,0.0071232
