Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,3.14e-05,0.0002683,0.0006653
AES_CBC_Large_File,3.14e-05,0.0130163,0.012174899999999999
AES_CTR_Small_File,7.4e-06,0.0002043,0.0004942
AES_CTR_Large_File,7.4e-06,0.0122498,0.0097293
AES_CTR_256_Small_File,1.18e-05,0.0001826,0.00023830000000000002
AES_CTR_256_Large_File,1.18e-05,0.0131631,0.0084689
TripleDES_Small_File,7e-06,0.002725,0.0032416
TripleDES_Large_File,7e-06,0.2617443,0.2607926
RSA_2048_Small_File,0.07452489999999999,0.0225165,0.2907083
RSA_2048_Large_File,0.1208847,0.8601319000000001,3.2775181
RSA_3072_Small_File,0.848625,0.0196227,0.5144362
RSA_3072_Large_File,0.2526113,0.3851558,5.3836845
DSA_2048_Small_File,0.18817810000000001,0.0006207999999999999,0.0004733
DSA_2048_Large_File,0.2326487,0.0057076,0.0055268999999999995
DSA_3072_Small_File,1.2021834,0.0009517000000000001,0.0009706000000000001
DSA_3072_Large_File,0.9608723,0.0059129,0.006224100000000001
