Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,2.99e-05,0.0004078,0.000354
AES_CBC_Large_File,2.99e-05,0.0157137,0.0261365
AES_CTR_Small_File,1.7199999999999998e-05,0.0005893,0.0003166
AES_CTR_Large_File,1.7199999999999998e-05,0.013650299999999999,0.0129931
AES_CTR_256_Small_File,1.07e-05,0.0002471,0.0005463
AES_CTR_256_Large_File,1.07e-05,0.0120525,0.011889
TripleDES_Small_File,1.3300000000000001e-05,0.0038045,0.0037865
TripleDES_Large_File,1.3300000000000001e-05,0.2678137,0.2739667
RSA_2048_Small_File,0.0947359,0.0326071,0.4175832
RSA_2048_Large_File,0.1204928,0.7866138,3.1902285
RSA_3072_Small_File,0.48069670000000003,0.0270118,0.7394724
RSA_3072_Large_File,0.2519916,0.3711846,5.5531025
DSA_2048_Small_File,0.1008777,0.0006602,0.0028745
DSA_2048_Large_File,0.1311165,0.0065183,0.005842
DSA_3072_Small_File,1.1529379,0.0009531,0.0008495
DSA_3072_Large_File,0.9414092,0.005983100000000001,0.0061502
