SHA,SHA_256,SHA_512,SHA3_256
Text_Small_File,0.0003063,0.0004033,0.0003324
Text_Large_File,0.0052704,0.0107282,0.019338599999999997
Gif_Small_File,0.0003877,0.0006,0.0007243999999999999
Gif_Large_File,0.0073462,0.0130951,0.0250973
Csv_Small_File,0.00026910000000000004,0.00034869999999999996,0.0002965
Csv_Large_File,0.0022633,0.0044138,0.0076852
Jpg_Small_File,0.000396,0.000438,0.0005656
Jpg_Large_File,0.0053496,0.0107844,0.0188768
Mp3_Small_File,0.0003212,0.000384,0.0004533
Mp3_Large_File,0.0027586,0.0055127,0.0103464
Mp4_Small_File,0.0005406,0.0013007000000000001,0.0014198
Mp4_Large_File,0.0052275,0.0104278,0.0177042
Pdf_Small_File,0.000304,0.000462,0.0006405
Pdf_Large_File,0.0057358999999999995,0.0107294,0.019435599999999997
Zip_Small_File,0.0002555,0.0003351,0.00033519999999999996
Zip_Large_File,0.0028695,0.0057522,0.0109188
