Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,7.2999999999999996e-06,0.0507349,0.000193
AES_CBC_Large_File,7.2999999999999996e-06,0.013668399999999999,0.017648
AES_CTR_Small_File,1.82e-05,0.0003461,0.000301
AES_CTR_Large_File,1.82e-05,0.0155459,0.017042400000000003
AES_CTR_256_Small_File,1.51e-05,0.000211,0.0003327
AES_CTR_256_Large_File,1.51e-05,0.012054700000000002,0.010457600000000001
TripleDES_Small_File,1.15e-05,0.0005147000000000001,0.0004499
TripleDES_Large_File,1.15e-05,0.2721491,0.28951740000000004
RSA_2048_Small_File,0.1274352,0.0023028000000000002,0.024053400000000003
RSA_2048_Large_File,0.25396979999999997,0.7740511,3.1677459
RSA_3072_Small_File,0.5356021,0.0023589,0.042833
RSA_3072_Large_File,0.4320645,0.41835659999999997,5.3389073
DSA_2048_Small_File,0.13252979999999998,0.0006458999999999999,0.0005236
DSA_2048_Large_File,0.1060393,0.0058408,0.0056213999999999995
DSA_3072_Small_File,1.1178567,0.0011577,0.0008277
DSA_3072_Large_File,0.9654176,0.0060416,0.0057986
