Algorithms,Time Key,Time Encrption,Time Decryption
AES_CBC_Small_File,2.52e-05,0.0001399,0.00011609999999999999
AES_CBC_Large_File,2.52e-05,0.0104487,0.009126200000000001
AES_CTR_Small_File,3.85e-05,0.0004171,0.0001437
AES_CTR_Large_File,3.85e-05,0.0079368,0.0085476
AES_CTR_256_Small_File,1.13e-05,0.0001761,0.00029239999999999995
AES_CTR_256_Large_File,1.13e-05,0.010723799999999999,0.0139615
TripleDES_Small_File,1.86e-05,0.0002216,0.0001635
TripleDES_Large_File,1.86e-05,0.1345805,0.13364479999999998
RSA_2048_Small_File,0.1578902,0.0007658,0.0023071
RSA_2048_Large_File,0.2055125,0.9693225,3.7124832999999997
RSA_3072_Small_File,0.4968391,0.0005375,0.0058784
RSA_3072_Large_File,0.488058,0.6366705,5.9361298
DSA_2048_Small_File,0.1117904,0.0006805,0.0005345
DSA_2048_Large_File,0.1853804,0.0031194,0.003084
DSA_3072_Small_File,1.0202284,0.000999,0.0007109
DSA_3072_Large_File,1.0462515,0.0034836,0.0044678
